,symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,currencyPair,shortSelling
1428,STAN.UK_9,GBP,STC,GBP,6,15,104,6,3,1,1,1670345078150,,0,3,2,225,2434,2147483647,UK,Standard Chartered PLC,True,False,False,True,100.0,5.928,5.934,5.978,5.872,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.006,6.0,,0,0,0,0,Tue Dec 06 17:44:38 CET 2022,False,False
1429,FITB.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360391944,,0,2,2,671,13,2147483647,US,Fifth Third Bancorp CFD,False,False,False,True,100.0,32.33,32.45,33.05,32.09,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.12,12.0,,0,0,0,0,Tue Dec 06 21:59:51 CET 2022,False,True
1430,ITW.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360374433,,0,2,2,12,2436,2147483647,US,Illinois Tool Works Inc,True,False,False,True,100.0,221.59,221.83,225.01,219.6,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.24,24.0,,0,0,0,0,Tue Dec 06 21:59:34 CET 2022,False,False
1431,EDEN.FR_9,EUR,STC,EUR,6,15,104,6,2,1,1,1670345098668,,0,2,2,225,2423,2147483647,France,Edenred,True,False,False,True,100.0,51.84,51.88,52.32,51.44,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.04,4.0,,0,0,0,0,Tue Dec 06 17:44:58 CET 2022,False,False
1432,GME.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360392945,,0,2,2,671,13,2147483647,US,CLOSE ONLY / GameStop Corp CFD - class A ,True,False,False,True,100.0,23.31,23.45,25.38,23.06,1.0,1000000.0,1.0,0.01,0.01,-0.00717,-0.00672,50.0,0.14,14.0,,0,0,0,0,Tue Dec 06 21:59:52 CET 2022,False,False
1433,H.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360390444,,0,2,2,12,2436,2147483647,US,Hyatt Hotels Corp - class A ,True,False,False,True,100.0,95.75,96.07,98.02,94.85,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.32,32.0,,0,0,0,0,Tue Dec 06 21:59:50 CET 2022,False,False
1434,AVANCE.NO,NOK,STC,NOK,6,15,104,6,2,1,1,1670340850669,,0,2,2,224,2427,2147483647,Norway,Avance Gas Holding Ltd / CLOSE ONLY,True,False,False,True,100.0,68.2,68.45,69.7,67.5,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.25,25.0,,0,0,0,0,Tue Dec 06 16:34:10 CET 2022,False,False
1435,DGTL.UK,USD,ETF,USD,6,15,104,6,4,1,1,1670345097666,,0,4,2,272,3055,2147483647,ETFs,iShares Digitalisation UCITS ETF (Acc USD),True,False,False,True,100.0,6.6875,6.695,6.815,6.65,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.0075,75.0,,0,0,0,0,Tue Dec 06 17:44:57 CET 2022,False,False
1436,PLAY.US,USD,STC,USD,6,15,104,6,2,1,1,1670360389441,,0,2,2,12,2436,2147483647,US,Dave & Buster's Entertainment Inc,True,False,False,True,100.0,36.21,36.23,37.28,35.6,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Tue Dec 06 21:59:49 CET 2022,False,False
1437,ALB.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360390944,,0,2,2,12,2436,2147483647,US,Albemarle Corp,True,False,False,True,100.0,258.01,258.21,267.0,255.18,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.2,20.0,,0,0,0,0,Tue Dec 06 21:59:50 CET 2022,False,False
