|STOCK|COUNTRY|URL
150|DTE|US|https://www.investing.com/equities/dte-energy
151|ADI|US|https://www.investing.com/equities/analog-devices
152|VFC|US|https://www.investing.com/equities/vf-corp
153|AGN|US|https://www.investing.com/equities/actavis
154|CAH|US|https://www.investing.com/equities/cardinal-health
155|XEL|US|https://www.investing.com/equities/xcel-energy
156|DHI|US|https://www.investing.com/equities/d.r.-horton-inc
157|IPG|US|https://www.investing.com/equities/interpublic-grp
158|STI|US|https://www.investing.com/equities/sun-trust-bk
159|BMS|US|https://www.investing.com/equities/bemis-company
160|LMT|US|https://www.investing.com/equities/lockheed-martin
161|WAT|US|https://www.investing.com/equities/waters-corp
162|ACN|US|https://www.investing.com/equities/accenture-ltd
163|D|US|https://www.investing.com/equities/dominion-res
164|XOM|US|https://www.investing.com/equities/exxon-mobil
165|CI|US|https://www.investing.com/equities/cigna-corp
166|PJC|US|https://www.investing.com/equities/piper-jaffray-co
167|KGC|US|https://www.investing.com/equities/kinross-gold
168|PEG|US|https://www.investing.com/equities/publ-svc-enter
169|NI|US|https://www.investing.com/equities/ni-source-inc
170|YGEHY|US|https://www.investing.com/equities/yingli-green
171|ZBH|US|https://www.investing.com/equities/zimmer-hldgs
172|CSX|US|https://www.investing.com/equities/csx-corp
173|ICE|US|https://www.investing.com/equities/intercontintlex
174|LUV|US|https://www.investing.com/equities/sth-west-airlines
175|ITW|US|https://www.investing.com/equities/illinois-tool-wk-r
176|DRI|US|https://www.investing.com/equities/dardem-rest
177|MAT|US|https://www.investing.com/equities/mattel-inc
178|BBT|US|https://www.investing.com/equities/bb-t-corp
179|CCJ|US|https://www.investing.com/equities/cameco-corp
180|HAL|US|https://www.investing.com/equities/halliburton-co
181|PLD|US|https://www.investing.com/equities/prologis
182|MKC|US|https://www.investing.com/equities/mccormick---co
183|GPS|US|https://www.investing.com/equities/gap.inc
184|TEX|US|https://www.investing.com/equities/terex-corp
185|HST|US|https://www.investing.com/equities/host-hotels---res
186|EL|US|https://www.investing.com/equities/estee-lauder
187|IP|US|https://www.investing.com/equities/intl-paper-co
188|EMR|US|https://www.investing.com/equities/emerson-elec
189|CLX|US|https://www.investing.com/equities/clorox-co
190|COP|US|https://www.investing.com/equities/conoco-phillips
191|CL|US|https://www.investing.com/equities/colgate-palmo
192|RTN|US|https://www.investing.com/equities/raytheon-co
193|NE|US|https://www.investing.com/equities/noble-corp
194|PNW|US|https://www.investing.com/equities/pinnacle-west
195|RF|US|https://www.investing.com/equities/regions-fin
196|CNP|US|https://www.investing.com/equities/centerpoint
197|MET|US|https://www.investing.com/equities/metlife-inc
198|EXC|US|https://www.investing.com/equities/exelon-corp
199|BAX|US|https://www.investing.com/equities/baxter-intl
200|OXY|US|https://www.investing.com/equities/occidental-petro
201|S|US|https://www.investing.com/equities/sprint-nextel-corp
202|SO|US|https://www.investing.com/equities/southern-co
203|TPR|US|https://www.investing.com/equities/coach
204|LEN|US|https://www.investing.com/equities/lennar
205|CPB|US|https://www.investing.com/equities/campbell-soup
206|CTL|US|https://www.investing.com/equities/centurylink
207|STT|US|https://www.investing.com/equities/state-street
208|PGR|US|https://www.investing.com/equities/the-progressive
209|HMY|US|https://www.investing.com/equities/harmony-gold-mng
210|CLF|US|https://www.investing.com/equities/cleveland-cliffs
211|VMC|US|https://www.investing.com/equities/vulcan-matrls
212|CNX|US|https://www.investing.com/equities/consol-energy
213|PH|US|https://www.investing.com/equities/parkerhannifin
214|TECK|US|https://www.investing.com/equities/teck-cominco
215|GPC|US|https://www.investing.com/equities/genuine-parts-co
216|CBRE|US|https://www.investing.com/equities/cbre
217|DD|US|https://www.investing.com/equities/du-pont
218|IX|US|https://www.investing.com/equities/orix
219|SHW|US|https://www.investing.com/equities/sherwinwilliams
220|PFE|US|https://www.investing.com/equities/pfizer
221|DCMYY|US|https://www.investing.com/equities/ntt-docomo
222|WFC|US|https://www.investing.com/equities/wells-fargo
223|MTW|US|https://www.investing.com/equities/manitowoc-co.
224|WMT|US|https://www.investing.com/equities/wal-mart-stores
225|EIX|US|https://www.investing.com/equities/edison-intl
226|KBH|US|https://www.investing.com/equities/kb-home
227|SNA|US|https://www.investing.com/equities/snapon-inc
228|ATI|US|https://www.investing.com/equities/allegheny-tech
229|XRX|US|https://www.investing.com/equities/xerox-corp
230|EFX|US|https://www.investing.com/equities/equifax-inc
231|GFI|US|https://www.investing.com/equities/gold-fields-lts
232|KNMCY|US|https://www.investing.com/equities/konami
233|MCK|US|https://www.investing.com/equities/mckesson-corp
234|ETR|US|https://www.investing.com/equities/entergy-corp
235|CMS|US|https://www.investing.com/equities/cms-energy-corp
236|HMC|US|https://www.investing.com/equities/honda
237|AMP|US|https://www.investing.com/equities/ameriprise-fincl
238|AIG|US|https://www.investing.com/equities/american-intl-group
239|RL|US|https://www.investing.com/equities/polo-ralph-laur
240|LEG|US|https://www.investing.com/equities/leggett---platt
241|LB|US|https://www.investing.com/equities/limited-brands
242|IFF|US|https://www.investing.com/equities/intl-flav---frag
243|PBR|US|https://www.investing.com/equities/petroleo-bras
244|MHO|US|https://www.investing.com/equities/m-i-homes-inc
245|GWW|US|https://www.investing.com/equities/w-w-grainger-inc
246|JCP|US|https://www.investing.com/equities/j-c-penney-co
247|DO|US|https://www.investing.com/equities/diamond-offshore
248|STZ|US|https://www.investing.com/equities/constellation-a
249|STVVY|US|https://www.investing.com/equities/china-dig-tv-hld
250|AMT|US|https://www.investing.com/equities/amer-tower-corp
251|TV|US|https://www.investing.com/equities/grupo-televisa-sa-adr
252|PM|US|https://www.investing.com/equities/philip-morris-intl
253|FIS|US|https://www.investing.com/equities/fidelity-natl-in
254|MO|US|https://www.investing.com/equities/altria-group
255|EP_pc|US|https://www.investing.com/equities/el-paso-corp
256|STC|US|https://www.investing.com/equities/stewart-information-services-corp
257|CBS|US|https://www.investing.com/equities/cbs-corp-cl-b
258|BLL|US|https://www.investing.com/equities/ball-corp
259|HIG|US|https://www.investing.com/equities/hartford-finl
260|AKS|US|https://www.investing.com/equities/ak-steel-holding-corp
261|HSY|US|https://www.investing.com/equities/hershey-co
262|SITC|US|https://www.investing.com/equities/ddr
263|DXC|US|https://www.investing.com/equities/comp-science
264|MS|US|https://www.investing.com/equities/morgan-stanley
265|PNC|US|https://www.investing.com/equities/pnc-fin-serv
266|WM|US|https://www.investing.com/equities/waste-managemnt
267|ABC|US|https://www.investing.com/equities/amerisourcebergn
268|AIZ|US|https://www.investing.com/equities/assurant
269|KR|US|https://www.investing.com/equities/kroger-co
270|TAP|US|https://www.investing.com/equities/molson-coors
271|HD|US|https://www.investing.com/equities/home-depot
272|BDX|US|https://www.investing.com/equities/becton-dickinsn
273|ARCH|US|https://www.investing.com/equities/arch-coal-inc
274|SJM|US|https://www.investing.com/equities/jm-smucker-co
275|VMW|US|https://www.investing.com/equities/vm-ware-inc
276|SEE|US|https://www.investing.com/equities/sealed-air
277|BBY|US|https://www.investing.com/equities/best-buy
278|ADM|US|https://www.investing.com/equities/archer-daniels-mid
279|BFb|US|https://www.investing.com/equities/brown-forman-b
280|IBM|US|https://www.investing.com/equities/ibm
281|UNP|US|https://www.investing.com/equities/union-pacific
282|CHN|US|https://www.investing.com/equities/china-fund-inc
283|SNE|US|https://www.investing.com/equities/sony
284|R|US|https://www.investing.com/equities/ryder-system-inc
285|SLM|US|https://www.investing.com/equities/slm-corporation
286|MU|US|https://www.investing.com/equities/micron-tech
287|AVY|US|https://www.investing.com/equities/avery-dennison
288|WFTIQ|US|https://www.investing.com/equities/weatherfgord-intl
289|MRO|US|https://www.investing.com/equities/marathon-oil
290|CF|US|https://www.investing.com/equities/cf-industries
291|APA|US|https://www.investing.com/equities/apache-corp
292|DUK|US|https://www.investing.com/equities/duke-energy
293|KEY|US|https://www.investing.com/equities/keycorp-new
294|TDC|US|https://www.investing.com/equities/teradata
295|SNV|US|https://www.investing.com/equities/synovus-finan
296|WPM|US|https://www.investing.com/equities/silver-wheaton-corp
297|LH|US|https://www.investing.com/equities/laboratory-corp-of-amer
298|BXP|US|https://www.investing.com/equities/boston-ppty
299|WDC|US|https://www.investing.com/equities/western-digital
300|PPG|US|https://www.investing.com/equities/ppg-industries
301|SPGI|US|https://www.investing.com/equities/mcgraw-hill
302|ANF|US|https://www.investing.com/equities/aberc-fitch-a
303|WMB|US|https://www.investing.com/equities/williams-cos
304|ANTM|US|https://www.investing.com/equities/wellpoint-inc
305|BC|US|https://www.investing.com/equities/brunswick-corp
306|JEC|US|https://www.investing.com/equities/jacobs-engineer
307|EMN|US|https://www.investing.com/equities/eastman-chem
308|VZ|US|https://www.investing.com/equities/verizon-communications
309|NUE|US|https://www.investing.com/equities/nucor
310|OMC|US|https://www.investing.com/equities/omnicom-gp-inc
311|NYT|US|https://www.investing.com/equities/new-york-times
312|LNC|US|https://www.investing.com/equities/lincoln-natl
313|UBS|US|https://www.investing.com/equities/ubs-group-n?cid=8132
314|NOV|US|https://www.investing.com/equities/ntl-oilwell-varc
315|AVB|US|https://www.investing.com/equities/avalonbay-comm
316|MAR|US|https://www.investing.com/equities/marriott-intl
317|IR|US|https://www.investing.com/equities/ingersoll-rand
318|BMY|US|https://www.investing.com/equities/bristol-myer-squiib
319|GNW|US|https://www.investing.com/equities/genworth-finl
320|AEP|US|https://www.investing.com/equities/american-electric
321|TMO|US|https://www.investing.com/equities/thermo-fisher-sc
322|KSS|US|https://www.investing.com/equities/kohls-corp
323|NEM|US|https://www.investing.com/equities/newmont-mining
324|VAR|US|https://www.investing.com/equities/varian-medical
325|GHC|US|https://www.investing.com/equities/washington-post-co.
326|TTM|US|https://www.investing.com/equities/tata-motors
327|PSA|US|https://www.investing.com/equities/public-stg-mld
328|TRV|US|https://www.investing.com/equities/the-travelers-co
329|SWK|US|https://www.investing.com/equities/stanley-works
330|MBI|US|https://www.investing.com/equities/mbia-inc
331|HDB|US|https://www.investing.com/equities/hdfc-bank
332|NTTYY|US|https://www.investing.com/equities/nippon-telegraph
333|BEN|US|https://www.investing.com/equities/franklin-res
334|HUM|US|https://www.investing.com/equities/humana-inc
335|HRB|US|https://www.investing.com/equities/h---r-block-inc
336|VIAB|US|https://www.investing.com/equities/viacom-cl-b
337|UNM|US|https://www.investing.com/equities/unum-group
338|CB|US|https://www.investing.com/equities/chubb-corp
339|JEF|US|https://www.investing.com/equities/leucadia-natl
340|JNJ|US|https://www.investing.com/equities/johnson-johnson
341|TSN|US|https://www.investing.com/equities/tyson-foods
342|TGT|US|https://www.investing.com/equities/target
343|JBL|US|https://www.investing.com/equities/jabil-circuit
344|AXP|US|https://www.investing.com/equities/american-express
345|AMX|US|https://www.investing.com/equities/america-movil
346|MAS|US|https://www.investing.com/equities/masco-corp
347|X|US|https://www.investing.com/equities/us-steel-corp
348|SYK|US|https://www.investing.com/equities/stryker
349|MUFG|US|https://www.investing.com/equities/mits-ufj-financial-grp
350|DFS|US|https://www.investing.com/equities/discover-financl
351|PRU|US|https://www.investing.com/equities/prudential-fin
352|ABT|US|https://www.investing.com/equities/abbott-laboratories
353|GE|US|https://www.investing.com/equities/general-electric
354|OIBRQ|US|https://www.investing.com/equities/oi
355|MDP|US|https://www.investing.com/equities/meredith-corp
356|DGX|US|https://www.investing.com/equities/quest-diag
357|UPS|US|https://www.investing.com/equities/united-parcel
358|AUY|US|https://www.investing.com/equities/yamana-gold
359|CVS|US|https://www.investing.com/equities/cvs-corp
360|ITT|US|https://www.investing.com/equities/itt-corp
361|PPL|US|https://www.investing.com/equities/ppl-corp
362|DF|US|https://www.investing.com/equities/dean-foods-co
363|RHI|US|https://www.investing.com/equities/robert-half-intl
364|SPG|US|https://www.investing.com/equities/simon-prop-grp
365|IBN|US|https://www.investing.com/equities/icici-bank
366|BIG|US|https://www.investing.com/equities/big-lots-inc
367|AVP|US|https://www.investing.com/equities/avon-products
368|JCI|US|https://www.investing.com/equities/johnson-controls
369|CMI|US|https://www.investing.com/equities/cummins-inc
370|ALL|US|https://www.investing.com/equities/allstate-corporation
371|SRE|US|https://www.investing.com/equities/sempra-energy
372|DVN|US|https://www.investing.com/equities/devon-energy
373|CAG|US|https://www.investing.com/equities/conagra-foods
374|TJX|US|https://www.investing.com/equities/tjx-co-inc
375|WHR|US|https://www.investing.com/equities/whirl-pool-corp
376|RRC|US|https://www.investing.com/equities/range-resources-corp
377|FE|US|https://www.investing.com/equities/first-energy
378|HOV|US|https://www.investing.com/equities/hovnanian-enter
379|GL|US|https://www.investing.com/equities/torchmark-corp
380|UTX|US|https://www.investing.com/equities/united-tech
381|PHM|US|https://www.investing.com/equities/pulte-homes-inc
382|WYND|US|https://www.investing.com/equities/wyndham-world
383|VLO|US|https://www.investing.com/equities/valero-energy
384|IGT|US|https://www.investing.com/equities/intl-game-tech
385|NBL|US|https://www.investing.com/equities/noble-energy
386|BSX|US|https://www.investing.com/equities/boston-scien-cp
387|FTR|US|https://www.investing.com/equities/frontier-communications-corp
388|COF|US|https://www.investing.com/equities/capital-one
389|PCG|US|https://www.investing.com/equities/pacific-gas-electric
390|NSC|US|https://www.investing.com/equities/norfolk-southern
